track_id	track_name	artist_ids	provider_id	label_ids	short_value	long_value	play_ratio	day
21728955	One Step Closer	[2703065]	2	[7722437]	19561	3932	4.974821973550356	2019-07-29
81780280	Temporary Lover	[4335730]	3	[6229364]	27377	5554	4.9292401872524305	2019-07-29
20839698	Don't You (Forget About Me) (Remastered)	[3429095]	7	[770326]	16862	3421	4.928968137971354	2019-07-29
22432778	Separate Ways (Worlds Apart)	[4353258]	3	[789974]	22225	4523	4.913774043776255	2019-07-29
70853190	I Love It	[3401958,11541190]	7	[4776137]	19417	3956	4.908240647118301	2019-07-29
40880676	How Far I'll Go (Alessia Cara Version)	[3440090]	7	[739477]	79403	16220	4.89537607891492	2019-07-29
64849638	Everyday	[3504859,7792785]	7	[742103]	13556	2777	4.881526827511704	2019-07-29
42208768	Take Me Home Tonight	[4341528]	3	[789974]	16162	3321	4.866606443842216	2019-07-29
77790718	House of the Rising Sun	[7853119]	16	[1869359]	30141	6207	4.8559690671822135	2019-07-29
23983914	Fireball	[4338294]	3	[790512]	13304	2743	4.850164053955523	2019-07-29
68493368	Be Alright	[3520205]	7	[778732]	78905	16281	4.846446778453412	2019-07-29
76437617	Walk Me Home	[4334957]	3	[789975]	25177	5218	4.8250287466462245	2019-07-29
14954110	Just a Friend	[2724864]	2	[730694]	10466	2193	4.772457820337437	2019-07-29
19716519	Run This Town	[3644227]	7	[742827,788121,788122]	12053	2538	4.749014972419228	2019-07-29
19217229	Hakuna Matata (From "The Lion King"/Soundtrack)	[3443808,3441950,3504633,3504632]	7	[746779,739477]	37178	7879	4.7186191141007745	2019-07-29
61070968	Rocket Man (I Think It's Going To Be A Long Long Time) (Remastered)	[3441228]	7	[4276490,742408,740014]	36305	7723	4.700893435193578	2019-07-29
22441185	Jessie's Girl	[4348335]	3	[789975]	21785	4649	4.685953968595397	2019-07-29
22440252	Chop Suey!	[4373151]	3	[790524]	20519	4386	4.678294573643411	2019-07-29
48076919	2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dog)	[3767675]	24	[725154]	22408	4822	4.647034425549564	2019-07-29
74854293	Secret (feat. YK Osiris)	[9814867]	34	[4485375]	12002	2596	4.62326656394453	2019-07-29
48076918	How Do You Want It (ft. KC, Jojo)	[3767675]	24	[725154]	19984	4328	4.617375231053605	2019-07-29
81780285	Need A Stack	[4335730]	3	[6229364]	21049	4623	4.55310404499243	2019-07-29
22429383	Electric Feel	[4347106]	3	[790491]	13798	3036	4.544795783926219	2019-07-29
80258581	Welcome To The Party	[16287349]	7	[7616369]	13564	3004	4.515312916111851	2019-07-29
604804	Wonderwall (Remastered)	[138456]	4	[8821]	30168	6686	4.512114866886031	2019-07-29
71050411	Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)	[13969506,13031480]	2	[730075]	11819	2621	4.509347577260588	2019-07-29
82822319	Change	[3506662]	7	[2814530]	53045	11782	4.5022067560685795	2019-07-29
26664141	Spirit In The Sky [demo]	[5759406]	1	[968204]	21109	4692	4.498934356351236	2019-07-29
60401057	Here I Go Again 87 (2017 Remaster)	[2727909]	2	[730694]	11366	2537	4.480094599921166	2019-07-29
65331177	Blue on Black	[11050017]	107	[2614557]	39523	8835	4.473457838143746	2019-07-29
15220047	Lucky	[2709556,2788421]	2	[730082]	11467	2574	4.454933954933955	2019-07-29
19821884	Sugar, We're Goin Down	[3438348]	7	[752500,742408,742595,739899]	18490	4153	4.452203226583193	2019-07-29
